company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
China Communications Construction Company Limited,CON Construction & Engineering,,,,,China Communications Construction,https://www.spglobal.com/sustainable1/en/scores/results?cid=4325237,2025-12-04T19:15:13.825040
China Construction Bank Corporation,BNK Banks,30,31,NO,"July 07, 2025",China Construction Bank,https://www.spglobal.com/sustainable1/en/scores/results?cid=4147550,2025-12-04T19:15:25.161431
China Huadian Corporation Ltd.,ELC Electric Utilities,,,,,China Huadian,https://www.spglobal.com/sustainable1/en/scores/results?cid=4346169,2025-12-04T19:17:02.145811
China Life Insurance Company Limited,INS Insurance,35,36,NO,"August 25, 2025",China Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4090721,2025-12-04T19:17:21.154153
"China Merchants Bank Co., Ltd.",BNK Banks,50,50,NO,"November 11, 2025",China Merchants Bank,https://www.spglobal.com/sustainable1/en/scores/results?cid=4147551,2025-12-04T19:17:36.987046
China Minmetals Corporation,MNX Metals & Mining,,,,,China Minmetals,https://www.spglobal.com/sustainable1/en/scores/results?cid=4331450,2025-12-04T19:17:53.630937
"China Minsheng Banking Corp., Ltd.",BNK Banks,39,40,NO,"November 17, 2025",China Minsheng Banking,https://www.spglobal.com/sustainable1/en/scores/results?cid=4147552,2025-12-04T19:18:05.391540
"China National Nuclear Power Co., Ltd.",ELC Electric Utilities,18,24,NO,"August 16, 2024",China National Nuclear,https://www.spglobal.com/sustainable1/en/scores/results?cid=5000968,2025-12-04T19:18:42.891229
China Resources Beer (Holdings) Company Limited,BVG Beverages,38,40,NO,"August 23, 2024",China Resources,https://www.spglobal.com/sustainable1/en/scores/results?cid=4913706,2025-12-04T19:19:33.091050
"China Southern Power Grid Co.,Ltd.",ELC Electric Utilities,,,,,China Southern Power Grid,https://www.spglobal.com/sustainable1/en/scores/results?cid=6623651,2025-12-04T19:19:54.957106
China State Construction Engineering Corporation Limited,CON Construction & Engineering,28,29,NO,"July 22, 2025",China State Construction Engineering,https://www.spglobal.com/sustainable1/en/scores/results?cid=4990767,2025-12-04T19:20:10.624377
China United Network Communications Limited,TLS Telecommunication Services,24,26,NO,"July 31, 2025",China United Network Communications,https://www.spglobal.com/sustainable1/en/scores/results?cid=4999857,2025-12-04T19:20:34.786166
"China Vanke Co., Ltd.",REM Real Estate Management & Development,53,53,NO,"September 26, 2025",China Vanke,https://www.spglobal.com/sustainable1/en/scores/results?cid=4346255,2025-12-04T19:20:45.260863
Fuchs SE,CHM Chemicals,40,46,NO,"August 12, 2025",CHS,https://www.spglobal.com/sustainable1/en/scores/results?cid=4986464,2025-12-04T19:21:29.474350
The Cigna Group,HEA Health Care Providers & Services,45,45,NO,"November 25, 2025",Cigna,https://www.spglobal.com/sustainable1/en/scores/results?cid=103339,2025-12-04T19:21:45.178425
Citigroup Inc.,BNK Banks,34,37,NO,"July 11, 2025",Citigroup,https://www.spglobal.com/sustainable1/en/scores/results?cid=4041896,2025-12-04T19:22:09.903329
CJ Corporation,IDD Industrial Conglomerates,32,39,NO,"October 16, 2024",CJ Corp,https://www.spglobal.com/sustainable1/en/scores/results?cid=4090820,2025-12-04T19:22:22.918317
CK Hutchison Holdings Limited,IDD Industrial Conglomerates,38,47,NO,"August 16, 2024",CK Hutchison Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4210832,2025-12-04T19:22:38.053763
"COFCO Biotechnology Co., Ltd.",CHM Chemicals,,,,,COFCO,https://www.spglobal.com/sustainable1/en/scores/results?cid=4985680,2025-12-04T19:22:54.819922
Comcast Corporation,"PUB Media, Movies & Entertainment",25,32,NO,"October 28, 2024",Comcast,https://www.spglobal.com/sustainable1/en/scores/results?cid=4057180,2025-12-04T19:23:10.949341
"Compal Electronics, Inc.",THQ Computers & Peripherals and Office Electronics,87,87,NO,"September 26, 2025",Compal Electronics,https://www.spglobal.com/sustainable1/en/scores/results?cid=4967275,2025-12-04T19:23:21.882987
Compass Group PLC,REX Restaurants & Leisure Facilities,39,46,NO,"July 18, 2025",Compass Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4334416,2025-12-04T19:23:33.078286
ConocoPhillips,OGX Oil & Gas Upstream & Integrated,55,56,NO,"September 09, 2024",ConocoPhillips,https://www.spglobal.com/sustainable1/en/scores/results?cid=4980342,2025-12-04T19:23:43.907578
"Contemporary Amperex Technology Co., Limited",ELQ Electrical Components & Equipment,63,63,NO,"October 17, 2025",Contemporary Amperex Technology,https://www.spglobal.com/sustainable1/en/scores/results?cid=6582136,2025-12-04T19:23:56.151046
Continental Aerospace Technologies Holding Limited,ARO Aerospace & Defense,,,,,Continental,https://www.spglobal.com/sustainable1/en/scores/results?cid=4987526,2025-12-04T19:24:07.524482
"COSCO SHIPPING Development Co., Ltd.",TCD Trading Companies & Distributors,47,48,NO,"October 03, 2025",COSCO Shipping,https://www.spglobal.com/sustainable1/en/scores/results?cid=4994889,2025-12-04T19:24:30.138237
Costco Wholesale Corporation,FDR Food & Staples Retailing,31,36,NO,"July 18, 2025",Costco Wholesale,https://www.spglobal.com/sustainable1/en/scores/results?cid=4126080,2025-12-04T19:24:45.786454
Country Garden Holdings Company Limited,REM Real Estate Management & Development,,,,,Country Garden Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4182980,2025-12-04T19:24:56.889303
CRH Medical Corporation,HEA Health Care Providers & Services,,,,,CRH,https://www.spglobal.com/sustainable1/en/scores/results?cid=4811187,2025-12-04T19:25:22.087120
CVS Health Corporation,HEA Health Care Providers & Services,53,53,NO,"December 01, 2025",CVS Health,https://www.spglobal.com/sustainable1/en/scores/results?cid=4206348,2025-12-04T19:25:43.799264
Daimler Truck Holding AG,IEQ Machinery and Electrical Equipment,37,42,NO,"September 03, 2025",Daimler Truck Holding,https://www.spglobal.com/sustainable1/en/scores/results?cid=11235465,2025-12-04T19:26:08.790455
"Daiwa House Industry Co., Ltd.",REM Real Estate Management & Development,59,61,NO,"June 11, 2025",Daiwa House Industry,https://www.spglobal.com/sustainable1/en/scores/results?cid=4156506,2025-12-04T19:26:20.895996
Danaher Corporation,LIF Life Sciences Tools & Services,47,51,NO,"September 18, 2025",Danaher,https://www.spglobal.com/sustainable1/en/scores/results?cid=4810677,2025-12-04T19:26:32.907210
Deere & Company,IEQ Machinery and Electrical Equipment,44,47,NO,"July 07, 2025",Deere,https://www.spglobal.com/sustainable1/en/scores/results?cid=114526,2025-12-04T19:26:43.453573
Dell Technologies Inc.,THQ Computers & Peripherals and Office Electronics,37,46,NO,"September 24, 2024",Dell Technologies,https://www.spglobal.com/sustainable1/en/scores/results?cid=4625099,2025-12-04T19:26:54.955078
DENSO Corporation,ATX Auto Components,52,55,NO,"August 12, 2025",Denso,https://www.spglobal.com/sustainable1/en/scores/results?cid=4915629,2025-12-04T19:27:05.948374
Deutsche Bahn AG,TRA Transportation and Transportation Infrastructure,,,,,Deutsche Bahn,https://www.spglobal.com/sustainable1/en/scores/results?cid=4167157,2025-12-04T19:27:16.906088
Deutsche Telekom AG,TLS Telecommunication Services,76,77,NO,"October 10, 2025",Deutsche Telekom,https://www.spglobal.com/sustainable1/en/scores/results?cid=4066137,2025-12-04T19:27:29.054587
Dollar General Corporation,FDR Food & Staples Retailing,25,31,NO,"July 18, 2025",Dollar General,https://www.spglobal.com/sustainable1/en/scores/results?cid=4022058,2025-12-04T19:27:46.613598
Dongfeng Motor Group Company Limited,AUT Automobiles,32,37,NO,"August 21, 2025",Dongfeng Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4915705,2025-12-04T19:27:57.897701
Dow Inc.,CHM Chemicals,78,78,NO,"April 01, 2025",Dow,https://www.spglobal.com/sustainable1/en/scores/results?cid=4209300,2025-12-04T19:28:09.096029
DSV A/S,TRA Transportation and Transportation Infrastructure,59,60,NO,"November 13, 2025",DSV,https://www.spglobal.com/sustainable1/en/scores/results?cid=4163305,2025-12-04T19:28:25.278641
Abeona Therapeutics Inc.,BTC Biotechnology,,,,,EON,https://www.spglobal.com/sustainable1/en/scores/results?cid=4812619,2025-12-04T19:28:35.976448
Ecopetrol S.A.,OGX Oil & Gas Upstream & Integrated,62,62,NO,"October 09, 2025",Ecopetrol,https://www.spglobal.com/sustainable1/en/scores/results?cid=4229355,2025-12-04T19:28:52.868242
"Elevance Health, Inc.",HEA Health Care Providers & Services,55,55,NO,"October 27, 2025",Elevance Health,https://www.spglobal.com/sustainable1/en/scores/results?cid=4072364,2025-12-04T19:29:43.942529
"Relo Group, Inc.",REM Real Estate Management & Development,,,,,ELO Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4863457,2025-12-04T19:29:54.897769
Enbridge Inc.,PIP Oil & Gas Storage & Transportation,61,62,NO,"December 03, 2025",Enbridge,https://www.spglobal.com/sustainable1/en/scores/results?cid=4089108,2025-12-04T19:30:07.321218
Energy Transfer LP,PIP Oil & Gas Storage & Transportation,18,20,NO,"April 09, 2025",Energy Transfer,https://www.spglobal.com/sustainable1/en/scores/results?cid=4111501,2025-12-04T19:31:09.896339
Engie Brasil Energia S.A.,ELC Electric Utilities,88,88,NO,"September 12, 2025",Engie,https://www.spglobal.com/sustainable1/en/scores/results?cid=5001449,2025-12-04T19:31:20.348476
Eni Plenitude S.P.A. Societa' Benefit,ELC Electric Utilities,51,52,NO,"March 20, 2025",ENI,https://www.spglobal.com/sustainable1/en/scores/results?cid=7040116,2025-12-04T19:31:35.635968
Enterprise Products Partners L.P.,PIP Oil & Gas Storage & Transportation,,,,,Enterprise Products Partners,https://www.spglobal.com/sustainable1/en/scores/results?cid=4059899,2025-12-04T19:31:50.467695
Equinor ASA,OGX Oil & Gas Upstream & Integrated,44,48,NO,"July 18, 2025",Equinor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4204408,2025-12-04T19:32:02.091300
Exxon Mobil Corporation,OGX Oil & Gas Upstream & Integrated,32,36,NO,"September 11, 2025",Exxon Mobil,https://www.spglobal.com/sustainable1/en/scores/results?cid=3007562,2025-12-04T19:32:19.872861
FedEx Corporation,TRA Transportation and Transportation Infrastructure,26,31,NO,"April 03, 2025",FedEx,https://www.spglobal.com/sustainable1/en/scores/results?cid=4379438,2025-12-04T19:32:38.892366
Ford Motor Company,AUT Automobiles,38,43,NO,"November 11, 2025",Ford Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=113873,2025-12-04T19:32:55.507586
