company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Shiseido Company,PT_01593,NaN,36.6,35.0,33.2,42.5,34,201,20,57,East Asia & Pacific,Japan,Personal and household products,Personal and household products,2024
Kao Corporation,PT_00991,JP3205800000,38.6,51.3,34.2,40.5,25,29,18,65,East Asia & Pacific,Japan,Personal and household products,Personal and household products,2024
Wilmar International,PT_01940,SG1T56930848,41.6,50.0,27.0,61.1,16,40,58,5,East Asia & Pacific,Singapore,Food and agriculture,Agricultural products,2023
L'Oreal,PT_01093,NaN,39.9,47.5,29.9,52.5,19,52,34,23,Europe & Central Asia,France,Personal and household products,Personal and household products,2024
Diageo,PT_00552,GB0002374006,40.1,45.0,26.9,58.8,18,71,61,9,Europe & Central Asia,United Kingdom,Food and agriculture,Food production,2023
Kering,PT_00999,FR0000121485,55.4,80.0,47.6,57.8,1,1,1,12,Europe & Central Asia,France,Apparel and footwear,Apparel and footwear,2022
DSM,PT_00581,NaN,31.0,35.0,27.0,35.5,67,201,58,92,Europe & Central Asia,Netherlands,Food and agriculture,Agricultural products,2023
Danone,PT_00523,FR0000120644,46.3,47.5,38.5,58.1,5,52,7,11,Europe & Central Asia,France,Food and agriculture,Food production,2023
Sibanye Stillwater,PT_02251,CNE100000502,36.8,56.3,36.8,28.9,32,20,8,151,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Nueva Pescanova,PT_01314,NaN,32.7,56.3,28.4,28.9,57,20,48,151,Europe & Central Asia,Spain,Food and agriculture,Food production,2023
Firmenich,PT_00684,NaN,37.0,41.3,27.3,50.5,30,114,55,26,Europe & Central Asia,Switzerland,Food and agriculture,Agricultural products,2023
Siam Cement (SCG),PT_01599,NaN,31.5,56.3,30.4,23.1,64,20,30,231,East Asia & Pacific,Thailand,Construction materials and supplies,Construction materials and supplies,2022
Sacyr,PT_02196,CNE100000502,35.7,51.3,39.4,23.6,37,29,5,224,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
Polyus,PT_02248,CNE100000502,34.0,43.8,36.3,26.5,48,103,11,182,Europe & Central Asia,Russian Federation,Metals and mining,Metals and mining,2022
PVH,PT_01449,US6936561009,32.8,36.3,26.5,41.3,56,192,65,59,North America,United States,Apparel and footwear,Apparel and footwear,2022
Evonik,PT_00651,NaN,33.0,41.3,26.6,39.7,53,114,64,66,Europe & Central Asia,Germany,Food and agriculture,Chemicals,2023
Bayer,PT_00223,NaN,44.9,72.8,32.2,53.6,8,4,22,21,Europe & Central Asia,Germany,Food and agriculture,Chemicals,2023
Hyundai Engineering and Construction,PT_02123,CNE100000502,32.9,50.0,28.4,33.1,55,40,48,113,East Asia & Pacific,"Korea, Rep.",Construction and engineering,Construction and engineering,2022
Merck KGaA,PT_01156,NaN,33.5,41.3,33.7,30.0,51,114,19,146,Europe & Central Asia,Germany,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
UPM-Kymmene,PT_01859,FI0009005987,43.7,38.8,44.1,45.0,10,163,2,42,Europe & Central Asia,Finland,Paper and forest,Paper and forest,2023
Marks & Spencer,PT_01124,NaN,32.7,33.8,22.1,49.0,57,239,117,29,Europe & Central Asia,United Kingdom,Apparel and footwear,Apparel and footwear,2024
Anheuser-Busch InBev,PT_00110,BE0974293251,35.1,35.0,29.5,44.0,40,201,39,47,Europe & Central Asia,Belgium,Food and agriculture,Food production,2023
Teck Resources,PT_02207,CNE100000502,40.2,57.5,23.7,59.0,17,17,98,8,North America,Canada,Metals and mining,Metals and mining,2022
Nestlé,PT_01245,CH0038863350,54.1,75.5,39.4,68.4,2,2,5,1,Europe & Central Asia,Switzerland,Food and agriculture,Food production,2023
Carlsberg,PT_00318,NaN,33.4,40.0,24.7,44.2,52,133,81,45,Europe & Central Asia,Denmark,Food and agriculture,Food production,2023
Norsk Hydro,PT_01299,NO0005052605,45.7,35.0,36.8,64.2,6,201,8,3,Europe & Central Asia,Norway,Metals and mining,Metals and mining,2022
Charoen Pokphand Group,PT_00343,NaN,43.6,61.3,31.1,55.9,11,11,26,16,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
Vale,PT_01868,BRVALEACNOR0,43.5,62.5,28.6,59.2,12,9,46,7,Latin America & Caribbean,Brazil,Metals and mining,Metals and mining,2022
Givaudan,PT_00751,CH0010645932,44.2,51.3,30.9,62.2,9,29,29,4,Europe & Central Asia,Switzerland,Food and agriculture,Chemicals,2023
Sanofi,PT_01533,NaN,36.7,30.0,36.7,39.4,33,278,10,70,Europe & Central Asia,France,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
POSCO,PT_01416,AU000000NUF3,32.3,40.0,27.3,37.0,59,133,55,83,East Asia & Pacific,"Korea, Rep.",Metals and mining,Metals and mining,2022
Symrise,PT_01712,NaN,31.9,33.8,25.8,40.7,62,239,66,64,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
CEMEX,PT_00329,NaN,34.8,70.0,20.1,43.7,42,5,150,49,Latin America & Caribbean,Mexico,Construction materials and supplies,Construction materials and supplies,2022
Sainsbury's,PT_01519,NaN,33.8,57.5,23.1,41.0,49,17,103,61,Europe & Central Asia,United Kingdom,Food and agriculture,Food retailers,2023
Hennes & Mauritz (H&M),PT_00808,US4016171054,31.1,43.8,21.2,41.5,65,103,133,58,Europe & Central Asia,Sweden,Apparel and footwear,Apparel and footwear,2022
Novartis,PT_01304,CH0012005267,39.6,46.3,35.7,42.9,21,56,14,55,Europe & Central Asia,Switzerland,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Mowi,PT_01202,NO0003054108,35.7,40.0,35.1,34.8,37,133,15,100,Europe & Central Asia,Norway,Food and agriculture,Food production,2023
Unilever,PT_01841,US9024941034,52.0,65.5,40.6,64.3,3,6,4,2,Europe & Central Asia,United Kingdom,Food and agriculture,Personal and household products,2023
PepsiCo,PT_01384,AU000000NUF3,37.8,51.3,23.9,54.3,27,29,96,18,North America,United States,Food and agriculture,Food production,2023
Gildan Activewear,PT_00749,CA3759161035,35.4,41.3,26.7,46.8,39,114,62,34,North America,Canada,Apparel and footwear,Apparel and footwear,2022
OCP,PT_01325,AU000000NUF3,43.2,50.0,31.5,58.8,13,40,24,9,Middle East & North Africa,Morocco,Food and agriculture,Agricultural products,2023
Kirin,PT_01010,US4943681035,32.1,41.3,29.8,32.0,61,114,37,124,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Bridgestone,PT_00275,NaN,33.0,23.8,23.4,51.8,53,402,100,24,East Asia & Pacific,Japan,Tyres and rubber,Tyres and rubber,2022
FMC,PT_00698,US3024913036,33.6,51.3,28.5,34.6,50,29,47,102,North America,United States,Food and agriculture,Agricultural products,2023
Glencore,PT_00752,JE00B4T3BW64,34.4,53.0,19.1,50.9,43,28,175,25,Europe & Central Asia,Switzerland,Metals and mining,Metals and mining,2022
Yara,PT_01974,NO0010208051,36.9,56.3,25.8,46.6,31,20,66,37,Europe & Central Asia,Norway,Food and agriculture,Agricultural products,2023
Fast Retailing,PT_00666,NaN,39.2,51.3,34.8,41.2,23,29,17,60,East Asia & Pacific,Japan,Apparel and footwear,Apparel and footwear,2022
Industria de Diseño Textil (Inditex),PT_00899,SE0000652216,37.4,46.3,25.2,52.8,28,56,75,22,Europe & Central Asia,Spain,Apparel and footwear,Apparel and footwear,2022
The Hershey Company,PT_01780,US4278661081,35.9,41.3,21.3,56.7,36,114,129,14,North America,United States,Food and agriculture,Food production,2023
Reckitt,PT_01468,GB00B24CGK77,34.2,18.8,29.8,47.4,46,478,37,32,Europe & Central Asia,United Kingdom,Personal and household products,Personal and household products,2024
Thai Union Group,PT_01774,TH0450010Y08,39.5,61.3,30.1,45.2,22,11,32,41,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
The Coca-Cola Company,PT_00447,US4016171054,31.1,30.0,20.0,48.8,65,278,152,30,North America,United States,Food and agriculture,Food production,2023
Kerry Group,PT_01001,IE0004906560,39.8,61.3,31.2,44.7,20,11,25,44,Europe & Central Asia,Ireland,Food and agriculture,Food production,2023
Anglo American,PT_00109,GB00B1XZS820,37.3,51.3,22.3,55.2,29,29,113,17,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
Meiji,PT_01149,NaN,34.3,40.0,31.1,37.0,45,133,26,83,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
ACCIONA,PT_00013,ES0125220311,42.5,73.8,25.8,56.1,14,3,66,15,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
Mondi,PT_01197,GB00B1CRLC47,42.1,61.3,43.7,31.8,15,11,3,125,Europe & Central Asia,United Kingdom,Containers and packaging,Containers and packaging,2022
Stora Enso,PT_01675,FI0009005961,32.3,35.0,24.1,44.1,59,201,88,46,Europe & Central Asia,Finland,Paper and forest,Paper and forest,2023
Gap,PT_00733,US3647601083,34.1,36.3,29.3,40.8,47,192,42,63,North America,United States,Apparel and footwear,Apparel and footwear,2022
Holcim,PT_01049,NaN,38.4,42.3,30.0,50.0,26,113,33,27,Europe & Central Asia,Switzerland,Construction materials and supplies,Construction materials and supplies,2022
Suzano Papel e Celulose,PT_01702,NaN,34.9,35.0,22.7,53.9,41,201,109,20,Latin America & Caribbean,Brazil,Paper and forest,Paper and forest,2023
Heineken,PT_00831,US4016171054,34.4,42.5,22.8,49.2,43,111,107,28,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
Rio Tinto,PT_01489,NaN,45.6,65.3,35.0,54.3,7,7,16,18,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
Newmont,PT_02127,CNE100000502,46.6,57.3,35.8,59.3,4,19,13,6,North America,United States,Metals and mining,Metals and mining,2022
Ajinomoto Group,PT_00057,JP3119600009,39.1,62.5,36.1,34.5,24,9,12,103,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Fonterra,PT_00702,NZFCGE0001S7,36.1,63.8,29.5,35.2,35,8,39,96,East Asia & Pacific,New Zealand,Food and agriculture,Food production,2023
Ahold Delhaize,PT_00047,NL0011794037,31.8,45.0,18.9,46.8,63,71,180,34,Europe & Central Asia,Netherlands,Food and agriculture,Food retailers,2023
Alcoa,PT_00064,US0138721065,30.9,35.0,24.9,38.6,68,201,79,75,North America,United States,Metals and mining,Metals and mining,2022
Gold Fields,PT_02208,CNE100000502,28.8,35.0,16.3,45.8,95,201,238,39,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Newcrest Mining,PT_02246,CNE100000502,28.9,51.3,24.0,27.6,92,29,95,166,East Asia & Pacific,Australia,Metals and mining,Metals and mining,2022
South32,PT_01639,NaN,30.9,46.3,24.1,35.3,68,56,88,94,East Asia & Pacific,Australia,Metals and mining,Metals and mining,2022
Asahi Group,PT_00138,NaN,29.5,35.0,25.3,33.7,84,201,74,107,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Sodexo,PT_01630,NaN,25.4,46.3,15.3,32.8,136,56,260,115,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
Musim Mas,PT_01215,NaN,29.5,28.8,23.2,39.7,84,310,101,66,East Asia & Pacific,Singapore,Food and agriculture,Agricultural products,2023
Owens Corning,PT_01358,AU000000NUF3,29.8,41.3,29.9,24.8,80,114,34,206,North America,United States,Construction materials and supplies,Construction materials and supplies,2022
JDE Peet's,PT_00945,IL0002810146,28.2,45.0,20.3,33.8,99,71,145,106,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
Essity,PT_00642,SE0009922164,27.2,17.5,24.1,35.9,118,519,88,88,Europe & Central Asia,Sweden,Personal and household products,Personal and household products,2024
Walmart,PT_01905,NaN,26.5,38.8,21.2,29.7,126,163,133,147,North America,United States,Food and agriculture,Food retailers,2023
Grupo Mexico,PT_00792,MXP370841019,26.4,35.0,17.3,37.2,129,201,217,81,Latin America & Caribbean,Mexico,Metals and mining,Metals and mining,2022
Polymetal,PT_02209,CNE100000502,30.8,31.3,28.9,33.5,71,276,44,112,Europe & Central Asia,Cyprus,Metals and mining,Metals and mining,2022
Pernod Ricard,PT_01387,AU000000NUF3,29.9,37.5,17.0,47.1,78,191,223,33,Europe & Central Asia,France,Food and agriculture,Food production,2023
Zijin Mining,PT_01997,CNE100000502,25.6,56.3,16.8,26.9,133,20,226,177,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Saipem,PT_02197,CNE100000502,30.7,46.3,29.0,27.1,72,56,43,172,Europe & Central Asia,Italy,Construction and engineering,Construction and engineering,2022
Ecolab,PT_00597,US2788651006,30.9,40.0,31.0,27.1,68,133,28,172,North America,United States,Chemicals,Chemicals,2022
Keurig Dr Pepper,PT_01002,US49271V1008,29.6,35.0,19.2,43.6,83,201,171,51,North America,United States,Food and agriculture,Food production,2023
VF Corporation,PT_01880,US9182041080,28.2,11.3,14.2,57.0,99,599,286,13,North America,United States,Apparel and footwear,Apparel and footwear,2022
Ferrovial,PT_00673,NaN,27.7,30.0,29.4,24.0,109,278,41,219,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
CMPC,PT_00442,NaN,28.9,40.0,30.3,22.1,92,133,31,245,Latin America & Caribbean,Chile,Paper and forest,Paper and forest,2023
Coles Group,PT_00450,NaN,28.0,45.0,14.0,42.9,103,71,294,55,East Asia & Pacific,Australia,Food and agriculture,Retail,2023
Sekisui House,PT_01559,NaN,26.5,38.8,29.9,16.1,126,163,34,379,East Asia & Pacific,Japan,Construction and engineering,Construction and engineering,2022
Kellogg's,PT_00997,US4878361082,28.0,41.3,13.4,45.5,103,114,318,40,North America,United States,Food and agriculture,Food production,2023
Puma,PT_01447,DE0006969603,28.3,41.3,14.5,44.9,97,114,279,43,Europe & Central Asia,Germany,Apparel and footwear,Apparel and footwear,2022
Next,PT_01261,CNE000000VB0,27.6,23.8,18.2,44.0,111,402,197,47,Europe & Central Asia,United Kingdom,Apparel and footwear,Apparel and footwear,2022
Rewe Group,PT_01484,NaN,26.6,23.8,16.4,43.7,123,402,235,49,Europe & Central Asia,Germany,Food and agriculture,Food retailers,2023
Berry Global,PT_00243,NaN,28.0,35.0,27.5,25.9,103,201,53,186,North America,United States,Containers and packaging,Containers and packaging,2022
GSK,PT_00798,GB0009252882,29.3,51.3,24.5,28.0,88,29,85,162,Europe & Central Asia,United Kingdom,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Pfizer,PT_01397,AU000000NUF3,29.9,47.3,21.1,36.6,78,55,136,85,North America,United States,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Sime Darby Plantation,PT_01606,NaN,30.0,33.8,20.6,43.3,76,239,141,52,East Asia & Pacific,Malaysia,Food and agriculture,Paper and forest products,2023
NLMK Group,PT_01307,DK0060534915,29.5,46.3,27.6,25.8,84,56,52,187,Europe & Central Asia,Russian Federation,Metals and mining,Metals and mining,2022
Suntory,PT_01698,NaN,27.6,33.8,20.8,35.9,111,239,140,88,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Henkel,PT_00836,US4016171054,27.6,45.0,27.4,20.8,111,71,54,265,Europe & Central Asia,Germany,Chemicals,Chemicals,2022
Svenska Cellulosa,PT_01704,NaN,26.6,45.0,24.4,22.6,123,71,87,236,Europe & Central Asia,Sweden,Paper and forest,Paper and forest,2023
Sumitomo Forestry,PT_01687,NaN,25.8,35.0,19.4,32.1,131,201,167,121,East Asia & Pacific,Japan,Paper and forest,Paper and forest,2023
Thai Beverage,PT_01771,TH0902010006,26.5,35.0,25.0,25.5,126,201,77,194,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
Levi Strauss & Co.,PT_01071,US52736R1023,26.6,47.5,25.5,19.9,123,52,73,290,North America,United States,Apparel and footwear,Apparel and footwear,2022
FrieslandCampina,PT_00719,NaN,29.2,61.3,21.1,29.0,89,11,136,150,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
Beiersdorf,PT_00235,NaN,27.2,30.0,28.1,24.6,118,278,50,212,Europe & Central Asia,Germany,Personal and household products,Personal and household products,2024
Hermes International,PT_00841,US4016171054,27.1,36.3,25.8,25.3,120,192,66,195,Europe & Central Asia,France,Apparel and footwear,Apparel and footwear,2022
Smurfit Kappa Group,PT_01624,NaN,28.3,40.0,27.1,25.3,97,133,57,195,Europe & Central Asia,Ireland,Containers and packaging,Containers and packaging,2022
CRH,PT_00493,DE0006062144,27.1,60.5,16.2,30.5,120,16,239,138,Europe & Central Asia,Ireland,Construction materials and supplies,Construction materials and supplies,2022
Fuji Oil,PT_00723,JP3816400000,27.3,45.0,22.3,27.9,117,71,113,164,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Johnson & Johnson,PT_00972,US4781601046,30.2,45.0,25.6,31.3,75,71,72,130,North America,United States,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Air Liquide,PT_00052,FR0000120073,27.8,46.3,15.9,39.2,107,56,243,73,Europe & Central Asia,France,Chemicals,Chemicals,2022
Michelin,PT_01168,NaN,29.7,41.3,24.1,33.7,82,114,88,107,Europe & Central Asia,France,Tyres and rubber,Tyres and rubber,2022
Ferrero,PT_00672,NaN,27.4,28.8,19.4,39.5,115,310,167,69,Europe & Central Asia,Luxembourg,Food and agriculture,Food production,2023
Barrick Gold,PT_02176,CNE100000502,27.5,28.8,14.9,46.7,114,310,272,36,North America,Canada,Metals and mining,Metals and mining,2022
Lundin Mining,PT_02721,CNE100000502,27.8,46.3,21.4,30.3,107,56,127,141,North America,Canada,Metals and mining,Metals and mining,2024
Cargill,PT_00317,NaN,28.2,23.8,26.7,32.2,99,402,62,120,North America,United States,Food and agriculture,Food production,2023
Daiwa House Group,PT_00516,NaN,27.7,45.0,33.1,12.1,109,71,21,475,East Asia & Pacific,Japan,Construction and engineering,Construction and engineering,2022
Kraft Heinz,PT_01030,US5007541064,26.7,40.0,17.4,35.9,122,133,214,88,North America,United States,Food and agriculture,Food production,2023
Tesco,PT_01765,GB0008847096,30.3,45.0,18.4,43.1,74,71,193,53,Europe & Central Asia,United Kingdom,Food and agriculture,Food retailers,2023
Amorepacific Group,PT_00098,KR7002790004,28.9,40.0,25.0,30.5,92,133,77,138,East Asia & Pacific,"Korea, Rep.",Personal and household products,Personal and household products,2024
Pirelli & C,PT_01409,AU000000NUF3,25.7,30.0,20.3,32.4,132,278,145,119,Europe & Central Asia,Italy,Tyres and rubber,Tyres and rubber,2022
Target,PT_01731,US87612E1064,29.0,38.8,27.0,28.3,91,163,58,158,North America,United States,Other,Retail,2024
Lululemon Athletica,PT_01103,NaN,28.8,40.0,21.8,35.3,95,133,119,94,North America,Canada,Apparel and footwear,Apparel and footwear,2022
BASF,PT_00220,NaN,29.8,55.3,27.9,22.6,80,26,51,236,Europe & Central Asia,Germany,Food and agriculture,Chemicals,2023
Nornickel,PT_01298,RU0007288411,30.0,45.0,23.8,33.7,76,71,97,107,Europe & Central Asia,Russian Federation,Metals and mining,Metals and mining,2022
METRO,PT_01163,NaN,25.5,23.8,24.8,27.4,134,402,80,169,Europe & Central Asia,Germany,Food and agriculture,Food retailers,2023
Adidas,PT_00022,NaN,25.5,23.8,11.3,48.5,134,402,380,31,Europe & Central Asia,Germany,Apparel and footwear,Apparel and footwear,2022
Archer Daniels Midland,PT_00131,NaN,27.9,46.3,21.7,30.2,106,56,122,142,North America,United States,Food and agriculture,Food production,2023
Vedanta Resources,PT_01875,NaN,28.2,45.0,24.5,27.1,99,71,85,172,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
AstraZeneca,PT_00152,NaN,27.4,46.3,24.1,24.8,115,56,88,206,Europe & Central Asia,United Kingdom,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
General Mills,PT_00739,US3703341046,29.2,28.8,23.0,39.3,89,310,104,71,North America,United States,Food and agriculture,Food production,2023
Colgate-Palmolive,PT_00451,NaN,29.5,30.0,28.8,30.4,84,278,45,140,North America,United States,Personal and household products,Personal and household products,2024
Mondelez International,PT_01196,US6092071058,30.7,35.0,19.8,46.0,72,201,155,38,North America,United States,Food and agriculture,Food production,2023
Sumitomo Corporation,PT_01686,NaN,25.9,53.8,20.5,23.2,130,27,143,230,East Asia & Pacific,Japan,Other,Conglomerates,2024
DOW,PT_00577,US2605571031,24.0,41.3,18.8,25.3,160,114,181,195,North America,United States,Chemicals,Chemicals,2022
AngloGold Ashanti,PT_02238,CNE100000502,25.3,21.3,18.6,37.5,137,472,189,79,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Indorama Ventures,PT_00897,SE0000652216,22.4,50.0,13.3,25.6,198,40,321,191,East Asia & Pacific,Thailand,Chemicals,Chemicals,2022
Nufarm,PT_01315,AU000000NUF3,22.4,30.0,21.5,20.8,198,278,124,265,East Asia & Pacific,Australia,Food and agriculture,Agricultural products,2023
Dabur,PT_00506,DE0006062144,22.9,45.0,21.2,16.6,188,71,133,361,South Asia,India,Personal and household products,Personal and household products,2024
LANXESS,PT_01056,DE0005470405,24.7,33.8,20.0,28.3,148,239,152,158,Europe & Central Asia,Germany,Chemicals,Chemicals,2022
Orkla,PT_01350,AU000000NUF3,23.6,28.8,16.8,32.1,172,310,226,121,Europe & Central Asia,Norway,Food and agriculture,Food production,2023
Metsaliitto Osuuskunta (Metsä Group),PT_01164,NaN,23.5,36.3,19.0,25.6,174,192,176,191,Europe & Central Asia,Finland,Paper and forest,Paper and forest,2023
Merck & Co,PT_01155,NaN,23.2,46.0,18.3,21.6,182,70,194,254,North America,United States,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
The Clorox Company,PT_01777,US1890541097,24.7,40.0,24.7,18.6,148,133,81,314,North America,United States,Personal and household products,Personal and household products,2024
Burberry ,PT_00288,NaN,24.0,30.0,14.1,37.2,160,278,290,81,Europe & Central Asia,United Kingdom,Apparel and footwear,Apparel and footwear,2022
Wm Morrison Supermarkets,PT_01946,GB0006043169,24.3,27.5,14.5,38.4,157,356,279,76,Europe & Central Asia,United Kingdom,Food and agriculture,Food retailers,2023
Kimberly-Clark,PT_01007,US4943681035,23.4,30.0,22.4,22.3,177,278,112,241,North America,United States,Personal and household products,Personal and household products,2024
Aldi South Group,PT_00066,DEXXXXXALDI0,23.8,28.8,13.9,37.3,167,310,299,80,Europe & Central Asia,Germany,Food and agriculture,Food retailers,2023
Woolworths Group,PT_01949,NaN,24.7,38.8,10.8,40.9,148,163,401,62,East Asia & Pacific,Australia,Food and agriculture,Food retailers,2023
Air Products and Chemicals,PT_00054,US0091581068,23.8,38.8,21.8,20.8,167,163,119,265,North America,United States,Chemicals,Chemicals,2022
Arla Foods,PT_00136,NaN,24.9,12.5,19.6,38.2,145,554,163,78,Europe & Central Asia,Denmark,Food and agriculture,Food production,2023
ACS Group,PT_00019,NaN,22.4,36.3,15.6,27.6,198,192,249,166,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
Kinross Gold,PT_02203,CNE100000502,23.9,27.5,17.4,32.6,162,356,214,118,North America,Canada,Metals and mining,Metals and mining,2022
Groupe Casino,PT_02072,CNE100000502,24.8,35.0,15.6,35.2,146,201,249,96,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
Natura & Co,PT_01237,BRNTCOACNOR5,23.3,31.3,19.8,25.6,179,276,155,191,Latin America & Caribbean,Brazil,Personal and household products,Personal and household products,2024
Procter & Gamble,PT_01431,US7427181091,25.0,23.8,25.8,24.5,144,402,66,213,North America,United States,Personal and household products,Personal and household products,2024
Mitr Phol Sugar Corp,PT_01180,NaN,23.2,20.0,18.7,31.7,182,476,183,127,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
International Flavors & Fragrances,PT_00920,SE0000652216,24.6,45.0,15.0,31.3,152,71,270,130,North America,United States,Food and agriculture,Food production,2023
Syngenta Group,PT_02083,CNE100000502,23.7,27.5,19.5,28.8,170,356,165,154,East Asia & Pacific,China,Food and agriculture,Agricultural products,2023
United Company Rusal,PT_02084,CNE100000502,22.4,45.0,22.2,13.7,198,71,115,445,Europe & Central Asia,Russian Federation,Metals and mining,Metals and mining,2022
The Estée Lauder Companies,PT_01778,US5184391044,25.1,35.0,24.6,21.8,140,201,84,252,North America,United States,Personal and household products,Personal and household products,2024
Arkema,PT_00135,NaN,23.4,40.0,22.9,17.4,177,133,106,339,Europe & Central Asia,France,Chemicals,Chemicals,2022
Heidelberg Materials,PT_00829,US4016171054,22.3,36.0,13.8,30.2,203,200,305,142,Europe & Central Asia,Germany,Construction materials and supplies,Construction materials and supplies,2022
Harmony Gold,PT_02376,CNE100000502,22.8,50.0,19.2,17.4,190,40,171,339,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Grupo Bimbo,PT_00785,MXP495211262,23.3,30.0,23.0,21.1,179,278,104,260,Latin America & Caribbean,Mexico,Food and agriculture,Food production,2023
Falabella,PT_02408,CNE100000502,22.3,46.3,14.0,25.8,203,56,294,187,Latin America & Caribbean,Chile,Food and agriculture,Food retailers,2024
Ralph Lauren Corporation,PT_01461,US7512121010,23.5,30.0,17.0,30.9,174,278,223,135,North America,United States,Apparel and footwear,Apparel and footwear,2022
McCormick,PT_01141,NaN,23.9,30.0,25.2,19.4,162,278,75,296,North America,United States,Food and agriculture,Food production,2023
Sociedad Quimica y Minera,PT_01628,NaN,23.7,38.8,12.8,34.8,170,163,337,100,Latin America & Caribbean,Chile,Food and agriculture,Agricultural products,2023
DS Smith,PT_00580,GB0008220112,22.6,23.8,23.5,20.6,194,402,99,270,Europe & Central Asia,United Kingdom,Containers and packaging,Containers and packaging,2022
BRF,PT_00274,NaN,23.1,41.3,18.1,23.6,184,114,202,224,Latin America & Caribbean,Brazil,Food and agriculture,Food production,2023
Solvay,PT_01634,NaN,23.1,50.0,18.0,20.1,184,40,205,281,Europe & Central Asia,Belgium,Chemicals,Chemicals,2022
Mosaic,PT_01201,US61945C1036,22.7,50.0,15.3,23.4,192,40,260,229,North America,United States,Food and agriculture,Metals and mining,2023
Nutrien,PT_01316,AU000000NUF3,25.3,45.0,23.2,20.6,137,71,101,270,North America,Canada,Food and agriculture,Agricultural products,2023
Barry Callebaut,PT_00219,NaN,22.7,36.3,13.9,31.1,192,192,299,133,Europe & Central Asia,Switzerland,Food and agriculture,Food production,2023
Evraz,PT_00653,NaN,23.9,41.3,21.1,21.4,162,114,136,256,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
Covestro,PT_00488,DE0006062144,23.0,30.0,12.8,36.2,186,278,337,87,Europe & Central Asia,Germany,Chemicals,Chemicals,2022
Mars,PT_01126,NaN,22.4,17.5,21.3,26.1,198,519,129,184,North America,United States,Food and agriculture,Food production,2023
Jeronimo Martins,PT_00957,IL0002810146,24.8,41.3,19.0,27.2,146,114,176,171,Europe & Central Asia,Portugal,Food and agriculture,Food retailers,2023
ICL,PT_00933,IL0002810146,25.1,41.3,22.7,22.3,140,114,109,241,Middle East & North Africa,Israel,Food and agriculture,Agricultural products,2023
Starbucks,PT_01660,NaN,22.9,23.8,19.7,27.7,188,402,160,165,North America,United States,Food and agriculture,Food retailers,2023
China Steel,PT_00400,NaN,24.5,50.0,31.7,3.0,155,40,23,642,East Asia & Pacific,"Taiwan, China",Metals and mining,Metals and mining,2022
Golden Agri-Resources,PT_00761,MU0117U00026,24.3,33.8,14.6,35.8,157,239,277,91,East Asia & Pacific,Singapore,Food and agriculture,Food production,2023
Fortescue,PT_02273,CNE100000502,22.6,48.0,16.4,21.9,194,51,235,249,East Asia & Pacific,Australia,Metals and mining,Metals and mining,2022
Freeport-McMoRan,PT_00717,TW0001301000,24.6,30.0,11.5,43.1,152,278,377,53,North America,United States,Metals and mining,Metals and mining,2022
