company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Sunkist Growers,PT_01697,NaN,2.3,0.0,0.0,6.7,703,657,722,594,North America,United States,Food and agriculture,Agricultural products,2023
G-III Apparel Group,PT_00748,US36237H1014,2.8,0.0,0.0,8.4,693,657,722,564,North America,United States,Apparel and footwear,Apparel and footwear,2022
Fung Group,PT_00728,BMG5485F1692,2.5,0.0,0.0,7.4,697,657,722,583,East Asia & Pacific,"Hong Kong SAR, China",Apparel and footwear,Apparel and footwear,2022
Koch Industries,PT_00746,US3703341046,3.2,0.0,0.8,8.2,682,657,715,568,North America,United States,Paper and forest,Paper and forest,2023
India Cements,PT_00892,SE0000652216,2.5,5.0,2.9,0.7,697,646,635,689,South Asia,India,Construction materials and supplies,Construction materials and supplies,2022
Groupe Bigard,PT_00777,NaN,0.9,0.0,1.6,0.0,723,657,675,700,Europe & Central Asia,France,Food and agriculture,Food production,2023
Starzen,PT_01662,JP3399100001,2.0,6.3,1.6,0.7,706,618,675,689,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Publix Super Markets,PT_01445,NaN,3.0,0.0,5.6,0.0,687,657,555,700,North America,United States,Food and agriculture,Food retailers,2023
Suguna Foods,PT_01684,NaN,3.0,6.3,1.6,3.7,687,618,675,636,South Asia,India,Food and agriculture,Food production,2023
Maderacre,PT_02215,CNE100000502,3.1,5.0,4.1,0.7,684,646,601,689,Latin America & Caribbean,Peru,Paper and forest,Paper and forest,2023
Hanwa,PT_00818,US4016171054,2.7,12.5,0.9,1.5,694,554,714,665,East Asia & Pacific,Japan,Metals and mining,Metals and mining,2022
China MinMetals,PT_02205,CNE100000502,2.5,5.0,3.5,0.0,697,646,619,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
NVR,PT_01318,AU000000NUF3,2.3,0.0,0.6,5.9,703,657,716,606,North America,United States,Construction and engineering,Construction and engineering,2022
China Communications Construction,PT_00353,NaN,0.5,0.0,0.0,1.5,743,657,722,665,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
UFP Industries,PT_01834,US9024941034,2.9,6.3,3.9,0.0,690,618,609,700,North America,United States,Paper and forest,Paper and forest,2023
Schreiber,PT_02003,CNE100000502,2.0,0.0,3.2,0.7,706,657,625,689,North America,United States,Food and agriculture,Food production,2023
Sumitomo Osaka Cement,PT_01691,NaN,1.3,0.0,0.0,3.7,721,657,722,636,East Asia & Pacific,Japan,Construction materials and supplies,Construction materials and supplies,2022
China Railway Construction Corporation (CRCC),PT_00392,NaN,0.8,0.0,0.0,2.2,739,657,722,655,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Carozzi,PT_00320,NaN,1.4,0.0,1.6,1.5,720,657,675,665,Latin America & Caribbean,Chile,Food and agriculture,Food production,2023
Power Construction Corporation of China (POWERCHINA),PT_01420,AU000000NUF3,3.1,17.5,1.3,0.0,684,519,702,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Jiangsu Shagang Group,PT_00960,IL0002810146,0.9,0.0,1.6,0.0,723,657,675,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
C&S Wholesale Grocers,PT_00292,NaN,0.9,0.0,1.6,0.0,723,657,675,700,North America,United States,Food and agriculture,Food retailers,2023
Shanghai Construction Group,PT_01574,NaN,0.3,0.0,0.0,0.7,747,657,722,689,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Jiangxi Copper,PT_00961,IL0002810146,0.9,6.3,0.0,0.0,723,618,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Wadia Group,PT_01903,NaN,2.6,0.0,4.8,0.0,695,657,579,700,South Asia,India,Food and agriculture,Food production,2023
Dangote Industries,PT_00520,NaN,0.5,0.0,0.0,1.5,743,657,722,665,Sub-Saharan Africa,Nigeria,Food and agriculture,Conglomerates,2023
EUROGATE,PT_02232,CNE100000502,2.6,0.0,1.7,5.1,695,657,670,626,Europe & Central Asia,Germany,Freight and logistics,Freight and logistics,2024
Ascena Retail Group,PT_00141,NaN,3.2,0.0,0.0,9.4,682,657,722,549,North America,United States,Apparel and footwear,Apparel and footwear,2022
Molinos,PT_01194,NaN,0.9,0.0,1.6,0.0,723,657,675,700,Latin America & Caribbean,Argentina,Food and agriculture,Food production,2023
BetAgro,PT_00247,NaN,2.5,6.3,2.6,0.7,697,618,645,689,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
Mueller,PT_01211,NaN,2.2,0.0,4.2,0.0,705,657,596,700,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
Gruppo Cremonini,PT_00794,IT0001282547,1.0,0.0,1.9,0.0,722,657,668,700,Europe & Central Asia,Italy,Food and agriculture,Food production,2023
Reliance Retail,PT_02053,CNE100000502,1.8,0.0,0.0,5.2,713,657,722,618,South Asia,India,Food and agriculture,Retail,2023
Amul,PT_00102,NaN,2.0,5.0,2.6,0.0,706,646,645,700,South Asia,India,Food and agriculture,Food production,2023
D.R. Horton,PT_00505,DE0006062144,2.0,0.0,0.0,5.9,706,657,722,606,North America,United States,Construction and engineering,Construction and engineering,2022
Groupe Pomona,PT_02001,CNE100000502,2.0,0.0,0.0,5.9,706,657,722,606,Europe & Central Asia,France,Food and agriculture,Food production,2023
Yamazaki Baking,PT_01969,JP3935600001,0.9,0.0,1.6,0.0,723,657,675,700,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Orascom,PT_02194,CNE100000502,1.5,0.0,0.0,4.5,717,657,722,630,Middle East & North Africa,United Arab Emirates,Construction and engineering,Construction and engineering,2022
Harim,PT_00821,US4016171054,0.9,0.0,1.6,0.0,723,657,675,700,East Asia & Pacific,"Korea, Rep.",Food and agriculture,Food production,2023
AGP,PT_00042,NaN,0.9,0.0,1.6,0.0,723,657,675,700,North America,United States,Food and agriculture,Agricultural products,2023
Ramco Cements,PT_01463,INE331A01037,0.9,0.0,1.6,0.0,723,657,675,700,South Asia,India,Construction materials and supplies,Construction materials and supplies,2022
TANAKA Precious Metals,PT_01726,JP3468820000,3.0,6.3,3.6,0.7,687,618,617,689,East Asia & Pacific,Japan,Metals and mining,Metals and mining,2022
Driscoll's,PT_00579,US2605571031,2.4,0.0,2.6,3.0,702,657,645,642,North America,United States,Food and agriculture,Agricultural products,2023
SIPG,PT_02236,CNE100000502,0.9,0.0,1.7,0.0,723,657,670,700,East Asia & Pacific,China,Freight and logistics,Freight and logistics,2024
Wilbur-Ellis,PT_01938,NaN,0.7,0.0,1.3,0.0,741,657,702,700,North America,United States,Food and agriculture,Agricultural products,2023
Terrena,PT_01764,NaN,0.7,0.0,1.3,0.0,741,657,702,700,Europe & Central Asia,France,Food and agriculture,Food production,2023
Les Mousquetaires,PT_01070,NaN,0.9,6.3,0.0,0.0,723,618,722,700,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
